NumTrainingEpisode,AvgRewardsForAll,EpisodeReward,Alpha,Epsilon,Gamma,Lambda
193,484.2383419689119,529.0,0.2,0.05,0.8,0.5
194,484.4587628865979,527.0,0.2,0.05,0.8,0.5
195,484.6871794871795,529.0,0.2,0.05,0.8,0.5
196,484.8826530612245,523.0,0.2,0.05,0.8,0.5
197,485.0761421319797,523.0,0.2,0.05,0.8,0.5
198,485.2979797979798,529.0,0.2,0.05,0.8,0.5
199,485.5175879396985,529.0,0.2,0.05,0.8,0.5
200,485.725,527.0,0.2,0.05,0.8,0.5
201,485.9303482587065,527.0,0.2,0.05,0.8,0.5
202,486.13366336633663,527.0,0.2,0.05,0.8,0.5
203,486.32512315270935,525.0,0.2,0.05,0.8,0.5
204,486.5147058823529,525.0,0.2,0.05,0.8,0.5
205,486.69756097560975,524.0,0.2,0.05,0.8,0.5
206,486.90291262135923,529.0,0.2,0.05,0.8,0.5
207,487.0966183574879,527.0,0.2,0.05,0.8,0.5
208,487.27884615384613,525.0,0.2,0.05,0.8,0.5
209,487.47846889952154,529.0,0.2,0.05,0.8,0.5
210,487.6666666666667,527.0,0.2,0.05,0.8,0.5
211,487.8436018957346,525.0,0.2,0.05,0.8,0.5
212,488.0188679245283,525.0,0.2,0.05,0.8,0.5
213,488.18779342723,524.0,0.2,0.05,0.8,0.5
214,488.35981308411215,525.0,0.2,0.05,0.8,0.5
215,488.5302325581395,525.0,0.2,0.05,0.8,0.5
216,488.7083333333333,527.0,0.2,0.05,0.8,0.5
217,488.87557603686633,525.0,0.2,0.05,0.8,0.5
218,489.05045871559633,527.0,0.2,0.05,0.8,0.5
219,489.2054794520548,523.0,0.2,0.05,0.8,0.5
220,489.3863636363636,529.0,0.2,0.05,0.8,0.5
221,489.5565610859729,527.0,0.2,0.05,0.8,0.5
222,489.73423423423424,529.0,0.2,0.05,0.8,0.5
223,489.9103139013453,529.0,0.2,0.05,0.8,0.5
224,485.58035714285717,-480.0,0.2,0.05,0.8,0.5
225,485.76444444444445,527.0,0.2,0.05,0.8,0.5
226,485.94690265486724,527.0,0.2,0.05,0.8,0.5
227,486.12775330396477,527.0,0.2,0.05,0.8,0.5
228,486.29824561403507,525.0,0.2,0.05,0.8,0.5
229,486.46724890829694,525.0,0.2,0.05,0.8,0.5
230,486.62608695652176,523.0,0.2,0.05,0.8,0.5
231,486.7922077922078,525.0,0.2,0.05,0.8,0.5
232,486.9655172413793,527.0,0.2,0.05,0.8,0.5
233,487.14592274678114,529.0,0.2,0.05,0.8,0.5
234,487.3247863247863,529.0,0.2,0.05,0.8,0.5
235,487.4936170212766,527.0,0.2,0.05,0.8,0.5
236,487.6694915254237,529.0,0.2,0.05,0.8,0.5
237,487.8101265822785,521.0,0.2,0.05,0.8,0.5
