NumTrainingEpisode,AvgRewardsForAll,EpisodeReward,Alpha,Epsilon,Gamma,Lambda
271,63.69741697416974,-504.0,0.2,0.05,0.8,-NA-
272,65.32720588235294,507.0,0.2,0.05,0.8,-NA-
273,66.94505494505495,507.0,0.2,0.05,0.8,-NA-
274,68.55109489051095,507.0,0.2,0.05,0.8,-NA-
275,70.14545454545454,507.0,0.2,0.05,0.8,-NA-
276,71.69927536231884,499.0,0.2,0.05,0.8,-NA-
277,73.27075812274369,507.0,0.2,0.05,0.8,-NA-
278,71.19424460431655,-504.0,0.2,0.05,0.8,-NA-
279,72.75627240143369,507.0,0.2,0.05,0.8,-NA-
280,70.69642857142857,-504.0,0.2,0.05,0.8,-NA-
281,72.24555160142349,506.0,0.2,0.05,0.8,-NA-
282,70.20212765957447,-504.0,0.2,0.05,0.8,-NA-
283,71.74204946996467,506.0,0.2,0.05,0.8,-NA-
284,69.71478873239437,-504.0,0.2,0.05,0.8,-NA-
285,67.70175438596492,-504.0,0.2,0.05,0.8,-NA-
286,69.23076923076923,505.0,0.2,0.05,0.8,-NA-
287,70.74912891986062,505.0,0.2,0.05,0.8,-NA-
288,68.75347222222223,-504.0,0.2,0.05,0.8,-NA-
289,70.26989619377163,507.0,0.2,0.05,0.8,-NA-
290,71.76551724137931,504.0,0.2,0.05,0.8,-NA-
291,73.23367697594502,499.0,0.2,0.05,0.8,-NA-
292,71.2568493150685,-504.0,0.2,0.05,0.8,-NA-
293,72.71672354948805,499.0,0.2,0.05,0.8,-NA-
294,70.75510204081633,-504.0,0.2,0.05,0.8,-NA-
295,72.20677966101695,499.0,0.2,0.05,0.8,-NA-
296,70.26013513513513,-504.0,0.2,0.05,0.8,-NA-
297,68.32659932659932,-504.0,0.2,0.05,0.8,-NA-
298,69.76845637583892,498.0,0.2,0.05,0.8,-NA-
299,67.84949832775919,-504.0,0.2,0.05,0.8,-NA-
300,69.30666666666667,505.0,0.2,0.05,0.8,-NA-
301,70.75747508305648,506.0,0.2,0.05,0.8,-NA-
302,72.20198675496688,507.0,0.2,0.05,0.8,-NA-
303,73.63366336633663,506.0,0.2,0.05,0.8,-NA-
304,75.0592105263158,507.0,0.2,0.05,0.8,-NA-
305,73.15081967213115,-507.0,0.2,0.05,0.8,-NA-
306,71.26470588235294,-504.0,0.2,0.05,0.8,-NA-
307,72.68403908794788,507.0,0.2,0.05,0.8,-NA-
308,74.08766233766234,505.0,0.2,0.05,0.8,-NA-
309,75.48867313915858,507.0,0.2,0.05,0.8,-NA-
310,73.59677419354838,-511.0,0.2,0.05,0.8,-NA-
311,74.97749196141478,503.0,0.2,0.05,0.8,-NA-
312,73.12179487179488,-504.0,0.2,0.05,0.8,-NA-
313,74.48242811501598,499.0,0.2,0.05,0.8,-NA-
314,75.82165605095541,495.0,0.2,0.05,0.8,-NA-
315,77.16507936507936,499.0,0.2,0.05,0.8,-NA-
316,75.32594936708861,-504.0,0.2,0.05,0.8,-NA-
